facility_code,work_order_number,functional_location,work_order_description,order_type,planner_group,user_status,abc_field,work_centre,maint_activ_type,latest_allowable_finish_date,system_status
F3FA,81076094,F3FA-H-FFFW-FPDPMP,Weekly Testrun DFWP - F3,UM01,MEC,WCOM SAFC,I,MECH,SFC,2/13/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076095,F3FA-H-SARE-MOBBOA-Z8011,Weekly Maintenance FRC - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,2/13/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076096,F3FA-H-SAEE-BOAFLB-Z8010,Weekly Maintenance FF-LB - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,2/13/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076126,F3FA-H-SA,F3FA 2W Safety checklist.,UM01,PDN,WCOM SAFC,I,OPS,SFC,1/26/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076130,F3FA-P-PGFC-CGCFAN-X3010B,E117 3M Check Three Phase Motor Ex,UM01,ELE,WCOM SAFC DFRD,L,ELEC,SFC,9/1/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076132,F3FA-P-PGFC-CGCFAN-X3010B,M350 12M Gas Coolers Check,UM01,MEC,WCOM SAFC DFRD,L,MECH,SFC,6/22/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076133,F3FA-P-PGFC-CGCFAN-X3010A,M350 12M Gas Coolers Check,UM01,MEC,WCOM SAFC DFRD,L,MECH,SFC,6/22/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076134,F3FA-P-PGFC-CGCFAN-X3010A,E117 3M Check Three Phase Motor Ex,UM01,ELE,WCOM SAFC DFRD,L,ELEC,SFC,9/1/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076160,F3FA-U-CASA-COM,M117 2W Start Emergency Air Compressor,UM01,MEC,WCOM,K,MECH,SFF,2/18/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076327,F3FA-H-SARE-MOBBOA-Z8011,Weekly Maintenance FRC - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,2/18/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076328,F3FA-H-SAEE-BOAFLB-Z8010,Weekly Maintenance FF-LB - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,2/18/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076418,F3FA-H-SA,F3FA 2W Safety checklist.,UM01,PDN,WCOM SAFC,I,OPS,SFC,2/25/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076428,F3FA-F-HVAC-CLO,Fire Dampers Integrity Test - F3,UM01,INS,WCOM SAFC,I,INST,SFC,6/15/2017,CLSD CNF  NMAT PRC  SETC
