facility_code,work_order_number,functional_location,work_order_description,order_type,planner_group,user_status,abc_field,work_centre,maint_activ_type,latest_allowable_finish_date,system_status
MJ6A,81057334,MJ6A-P-WHSS-K4A,Tests K4AD Subsea-Well J6,UM01,PDN,WCOM SAFC,U,OPS,SFC,7/20/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057336,MJ6A-U-FUF1-OUTBDV-60XV005,O105 3M Test Blow Down Valve Fuel Gas,UM01,PDN,WCOM SAFC,U,OPS,SFC,7/19/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057346,MJ6A-H-SARE-MOBBOA-Z8003,Weekly Maintenance FRC - CT,UM01,MEC,WCOM SAFC,U,MECH,SFF,3/29/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057347,MJ6A-H-SAEE-BOAFLB,Weekly Maintenance FF-LB - J6,UM01,MEC,WCOM SAFC,U,MECH,SFF,3/29/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057348,MJ6A-H-SAEE-BOAWLB,Weekly Maintenance DL-LB - J6,UM01,MEC,WCOM SAFC,U,MECH,SFF,3/29/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057486,MJ6A-P-GCT1-TD1BDV-61PSV102,Q011 48M PSV Recertification,UM01,PDN,WCOM,U,OPS,SFC,3/22/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057487,MJ6A-P-GCT2-OUTBDV-61PSV207,Q011 48M PSV Recertification,UM01,PDN,WCOM,U,OPS,SFC,3/22/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057488,MJ6A-U-FUF2-SCRBDV-61PSV013,Q011 48M PSV Recertification,UM01,PDN,WCOM SAFC,U,OPS,SFC,3/22/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057489,MJ6A-P-PGP1-TSEBDV-30XV020,C011 6M  BDV Blow Down Valve Test Sepera,UM01,PDN,WCOM SAFC,U,OPS,SFC,7/23/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057504,MJ6A-U-FUJF-TRFPU2-64PSV002,Q011 48M PSV Recertification,UM01,PDN,WCOM SAFC,U,OPS,SFC,3/22/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057511,MJ6A-P-GCT1-TD1BDV-61PSV104,Q011 48M PSV Recertification,UM01,PDN,WCOM,U,OPS,SFC,3/22/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057512,MJ6A-P-GCT1-OUTBDV-61PSV107,Q011 48M PSV Recertification,UM01,PDN,WCOM,U,OPS,SFC,3/22/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057513,MJ6A-U-FUJF-TRFPU1-64PSV001,Q011 48M PSV Recertification,UM01,PDN,WCOM SAFC,U,OPS,SFC,3/22/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057514,MJ6A-U-SWUT-SWTINL-PSV01,Q011 48M PSV Recertification,UM01,PDN,WCOM,U,OPS,SFC,3/22/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057515,MJ6A-H-SARE-FREBAC-K8001,M106 12M BA Compressor,UM01,MEC,WCOM SAFC,U,CRANE,SFC,7/29/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057523,MJ6A-P-PGM1-EXPBDV-30XV024,C011 6M  BDV Blow Down Valve Process Gas,UM01,PDN,WCOM SAFC,U,OPS,SFC,7/23/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057525,MJ6A-P-PGM1-METBDV-30XV014,C011 6M  BDV Blow Down Valve Gas Meterin,UM01,PDN,WCOM SAFC,U,OPS,SFC,7/23/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057622,MJ6A-C-NAAD,Basecrew Nav-Aids maintenance J6,UM01,ELE,WCOM SAFC,U,ELEC,SFC,8/5/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057626,MJ6A-P-PGP1-IS2BDV-30XV983,O105 1M Test Blow Down Valve K1A Slugcat,UM01,PDN,WCOM SAFC,U,OPS,SFC,8/5/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057633,MJ6A-H-SARE-MOBBOA-Z8003,Weekly Maintenance FRC - CT,UM01,MEC,WCOM SAFC,U,MECH,SFF,4/8/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057634,MJ6A-H-SAEE-BOAFLB,Weekly Maintenance FF-LB - J6,UM01,MEC,WCOM SAFC,U,MECH,SFF,4/8/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057635,MJ6A-H-SAEE-BOAWLB,Weekly Maintenance DL-LB - J6,UM01,MEC,WCOM SAFC,U,MECH,SFF,4/8/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057647,MJ6A-H-FFFW-FPDPMP-P5002,Weekly Testrun DFWP - J6,UM01,MEC,WCOM SAFC,U,MECH,SFC,4/13/2016,CLSD CNF  NMAT PRC  SETC
MJ6A,81057649,MJ6A-U-FUJF,Certify Helicopter Refuelling Unit - J6,UM01,NMC,WCOM SAFC,U,MECH,SFC,8/1/2016,CLSD CNF  GMPS NMAT PRC  SETC
MJ6A,81057651,MJ6A-U-HLCR-DH2,Inspect Crane for FRC Handling - CT,UM01,NMC,WCOM SAFC,U,MECH,SFC,8/1/2016,CLSD CNF  GMPS NMAT PRC  SETC
MJ6A,81057665,MJ6A-F-HVLQ-COO,Follow-up of anual inspection HVAC syste,UM01,NMC,WCOM PLT,U,MECH,EXM,,CLSD CNF  GMPS PRC  SETC
MJ6A,81057848,MJ6A-H-SARE-MOBBOA-Z8003,Basecrew Service FRC - CT,UM01,MEC,WCOM SAFC,U,MECH,SFF,8/12/2016,CLSD CNF  NMAT PRC  SETC
